,tweet_id,date,time
11891,1236817206584832000,2020-03-09,0:52:55
11892,1236817315636731904,2020-03-09,0:53:21
11893,1236817353406586880,2020-03-09,0:53:30
11894,1236817441470152704,2020-03-09,0:53:51
11895,1236817512781750273,2020-03-09,0:54:8
11896,1236817709930819584,2020-03-09,0:54:55
11897,1236817743476854787,2020-03-09,0:55:3
11898,1236817756064014336,2020-03-09,0:55:6
11899,1236817768629981184,2020-03-09,0:55:9
11900,1236817772837036032,2020-03-09,0:55:10
11901,1236817823143526400,2020-03-09,0:55:22
11902,1236817886070661121,2020-03-09,0:55:37
11903,1236817898670305281,2020-03-09,0:55:40
11904,1236817923815112705,2020-03-09,0:55:46
11905,1236817928026275841,2020-03-09,0:55:47
11906,1236817961559584768,2020-03-09,0:55:55
11907,1236818099963297792,2020-03-09,0:56:28
11908,1236818217429012480,2020-03-09,0:56:56
11909,1236818292939112449,2020-03-09,0:57:14
11910,1236818364212772865,2020-03-09,0:57:31
11911,1236818540403068928,2020-03-09,0:58:13
11912,1236818561345126401,2020-03-09,0:58:18
11913,1236818670426271744,2020-03-09,0:58:44
11914,1236818792027742208,2020-03-09,0:59:13
11915,1236818972395200512,2020-03-09,0:59:56
11916,1236818976589611010,2020-03-09,0:59:57
11917,1236818984982454272,2020-03-09,0:59:59
11918,1236819060463198208,2020-03-09,1:0:17
11919,1236819098207752202,2020-03-09,1:0:26
11920,1236819135985782785,2020-03-09,1:0:35
11921,1236819156957306880,2020-03-09,1:0:40
11922,1236819211487449089,2020-03-09,1:0:53
11923,1236819245029380096,2020-03-09,1:1:1
11924,1236819261806514177,2020-03-09,1:1:5
11925,1236819345705222151,2020-03-09,1:1:25
11926,1236819354081058817,2020-03-09,1:1:27
11927,1236819408607039488,2020-03-09,1:1:40
11928,1236819500869332993,2020-03-09,1:2:2
11929,1236819555399467008,2020-03-09,1:2:15
11930,1236819727365877760,2020-03-09,1:2:56
11931,1236819735758635015,2020-03-09,1:2:58
11932,1236819819648835586,2020-03-09,1:3:18
11933,1236819832219275270,2020-03-09,1:3:21
11934,1236819853207457792,2020-03-09,1:3:26
11935,1236819869968084993,2020-03-09,1:3:30
11936,1236819999995518977,2020-03-09,1:4:1
11937,1236820033537544192,2020-03-09,1:4:9
11938,1236820151007203329,2020-03-09,1:4:37
11939,1236820197153083392,2020-03-09,1:4:48
11940,1236820251645378561,2020-03-09,1:5:1
11941,1236820301985517568,2020-03-09,1:5:13
11942,1236820423616147456,2020-03-09,1:5:42
11943,1236820771735064576,2020-03-09,1:7:5
11944,1236820788520443904,2020-03-09,1:7:9
11945,1236820801120280582,2020-03-09,1:7:12
11946,1236820847266082816,2020-03-09,1:7:23
11947,1236820859823718400,2020-03-09,1:7:26
11948,1236820947925184514,2020-03-09,1:7:47
11949,1236821082147041293,2020-03-09,1:8:19
11950,1236821149234991104,2020-03-09,1:8:35
11951,1236821157611012098,2020-03-09,1:8:37
11952,1236821228930895875,2020-03-09,1:8:54
11953,1236821379921608704,2020-03-09,1:9:30
11954,1236821405100052480,2020-03-09,1:9:36
11955,1236821426075840512,2020-03-09,1:9:41
11956,1236821455414988800,2020-03-09,1:9:48
11957,1236821581239857164,2020-03-09,1:10:18
11958,1236821639980933120,2020-03-09,1:10:32
11959,1236821656741367808,2020-03-09,1:10:36
11960,1236821908420808706,2020-03-09,1:11:36
11961,1236821950363832321,2020-03-09,1:11:46
11962,1236821958735679494,2020-03-09,1:11:48
11963,1236821967136870402,2020-03-09,1:11:50
11964,1236821971339337728,2020-03-09,1:11:51
11965,1236822004864626688,2020-03-09,1:11:59
11966,1236822088763269121,2020-03-09,1:12:19
11967,1236822097135046656,2020-03-09,1:12:21
11968,1236822143293366278,2020-03-09,1:12:32
11969,1236822239749853184,2020-03-09,1:12:55
11970,1236822390736408577,2020-03-09,1:13:31
